"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge"
"400","LakeSolso.Odgaard.1988","lcRonkgxC2OuZ5Khx0O",8.6134,56.1285,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",2530,9280,6750,180,190,"Annual","P","Legacy Climate v1.0","positive",NA,1009.75,1004.625,996.7,NA,2530,9280
"401","LakeTahoe.Lindstrom.1990","pdR6bOS2xjY78ElzAe7",-120,39,"WNA","Shoreline","lakeLevel","Shoreline","Shoreline (Lake Level)",75,5903,5828,80,144,"Annual","P-E","Liefert and Shuman, 2020","positive",1896.033,NA,1893.07,NA,NA,678.333333333333,1179
"402","LakeTianchi.Jiang.2019","lcRLUGwe6u9sNwCWBA0",99.2797,25.8709,"SAS","Lake","pollen","Pollen","Pollen (calibrated)",170,12000,12000,355,350,"Annual","P","Legacy Climate v1.0","positive",840.8,863.45,820.5,819.05,822.1,3490,9410
"403","LakeVan.Chen.2008","GH7fd4a6f1",43.2,38.4,"WCA","LakeSediment","hybrid","Other","Other (not calibrated)",0,11000,11000,50,450,"Annual","P-E","Mid-Latitude Holocene","positive",3,4,4,3.048,1.762,5475,10800
"404","LakeVarna.FilipovaMarinova.2016","lcR1swPAuEHYu5rmwNE",27.8278,43.1955,"MED","Lake","pollen","Pollen","Pollen (calibrated)",0,7970,8020,110,110,"Annual","P","Legacy Climate v1.0","positive",594.4,606.05,596.84,581.45,NA,5270,5570
"405","LakeVictoriaPilkingtonBay.Stager.2003","WEBd1f64e69",33.3333,0.3,"SEAF","LakeSediment","CAS","Other","Other (not calibrated)",147,10203,10056,23,23,"Annual","P-E","Other","negative",176.621,14.219,-101.791,-91.333,-33.667,6255,180
"406","LakeVoulkaria.Jahns.2005","lcR92SM1LEHTVnz3T6Q",20.8333,38.8667,"MED","Lake","pollen","Pollen","Pollen (calibrated)",0,10140,10170,60,55,"Annual","P","Legacy Climate v1.0","positive",708.422,708.312,702.6,686,662.3,5320,9920
"407","LakeWA01.Ravindra.2009","lcRBEvaydIFwOnSZuma",-136.9294,61.2444,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,10440,10500,60,60,"Annual","P","Legacy Climate v1.0","positive",370.203,349.5,365.243,379.429,331.218,8160,150
"408","LakeWestOkoboji.Van.1979","pdR889sQHzAg5FOKA7S",-95.2,46.3,"CNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,10242,10242,200,172,"Annual","P-E","Liefert and Shuman, 2020","positive",5,NA,5,2.5,5,6225.75,8599
"409","Lapagrandecave.Strikis.2011","S2LRdNK2vfJIac",-44.28,-14.37,"NES","Speleothem","d18O","Speleothem","Speleothem (δ18O)",1284.5,10194.579,8910.079,9.40000000000055,9.64250000000038,"Summer","P","SISALv2","negative",NA,-5.829,-5.538,-5.813,-6.007,5008.1,7856.45
"410","LarixlaricinaSite5.Penalba.1997","lcRz3iMAf5YXkq554az",-75.8135,57.7192,"NEN","Peat","pollen","Pollen","Pollen (calibrated)",0,4370,4420,150,150,"Annual","P","Legacy Climate v1.0","positive",731.2,615.462,NA,NA,NA,110,2350
"411","Lavau.Voeltzel.1987","lcRQLFkYUzyqFavzbXI",-1.9342,47.3419,"WCE","Peat","pollen","Pollen","Pollen (calibrated)",520,7030,6510,40,40,"Annual","P","Legacy Climate v1.0","positive",812.04,878.142,685.81,NA,NA,4470,6860
"412","Leake.Dodson.1974b","OLS_RzRHx3ZG7y7",140.57,-37.62,"SAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,5740,"Annual","P-E","Oxford Lake Level Database","negative",2,1,1,1,2,6186.5,4957.9
"413","Leconte.Hubbs.1960","OLS_Rt3bq8OIkfc",-116,33.33,"NCA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,1192,"Annual","P-E","Oxford Lake Level Database","negative",3,1,3,3,3,2606.5,6849.35714285714
"414","LeFourneau.Barbier.2000","lcRO66HhB9HOPSTtGWS",-0.1917,48.4444,"WCE","Marsh","pollen","Pollen","Pollen (calibrated)",0,12000,12000,240,250,"Annual","P","Legacy Climate v1.0","positive",849.825,729.95,751.475,792.1,864.6,11520,5660
"415","LeGesvres.Ouguerram.2002","lcRzquIL84dpfJdywy3",-1.5958,47.2722,"WCE","Peat","pollen","Pollen","Pollen (calibrated)",200,10010,9810,50,50,"Annual","P","Legacy Climate v1.0","positive",818.06,741.66,696.263,671.881,712.143,230,7180
"416","Lehmancaves.Lachniet.2014","S2LRBsC6hoSiak",-114.22,39.01,"WNA","Speleothem","d13C","Speleothem","Speleothem (δ13C)",3836,11446,7610,52,52,"Winter","P-E","SISALv2","negative",NA,-2.084,-2.463,-2.898,-3.972,10427,11413
"417","LehmanCaves.Steponaitis.2015","WEB753b9479",-114.22,39.01,"WNA","Speleothem","Mg/Ca","Speleothem","Speleothem (other)",3977,11449,7472,97,221,"Winter","P-E","Other","negative",NA,0.006,0.006,0.004,0.002,10706.1578947368,5196.81818181818
"418","LejdaChampfer.Gobet.2005","lcRU88QgoMtobQ78a50",9.8062,46.4699,"WCE","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,85,90,"Annual","P","Legacy Climate v1.0","positive",935.44,975.6,938.5,983.45,785.971,1640,10560
"419","LeMaraisdelaPergeSouth.Diot.1995","lcRiPXC1QOIC1ugFpbT",-1.115,45.3825,"WCE","Marsh","pollen","Pollen","Pollen (calibrated)",80,7010,6930,320,325,"Annual","P","Legacy Climate v1.0","positive",979.675,919.867,929.8,NA,NA,1980,6530
"420","Lembolovskoyelake.Arslanov.2001","lcRuBI86L2fbLUHGeuU",30.3133,60.3575,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",100,12000,12000,200,210,"Annual","P","Legacy Climate v1.0","positive",603.35,623,625.571,609.325,587.217,4660,11300
"421","Leviathancave.Lachniet.2014","S2LRO9D73hbg4x",-115.58,37.89,"WNA","Speleothem","d13C","Speleothem","Speleothem (δ13C)",0,12000,12000,50,50,"Annual","P-E","SISALv2","negative",-4.839,-3.486,-2.076,-1.97,-3.135,2540,8340
"422","LiangLuar.Griffiths.2016","S2LRgwWVs7MIO3",120.43,-8.53,"SEA","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,12000,12000,100,100,"Summer","P","SISALv2","negative",-6.176,-6.121,-6.237,-5.928,-4.945,1800,11400
"423","LianhuacaveHunan.Cosford.2008","S2LRig6NPgl5Aq",109.5333,29.48,"EAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",51,12000,12000,10,10,"Summer","P","SISALv2","negative",-5.503,-6.629,-7.31,-7.34,-6.892,5960,11639
"424","LilleKjelavatn.Birks.2007","lcRyQRzcwKdCEM16Z9h",7.2521,59.796,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",0,8820,8870,110,110,"Annual","P","Legacy Climate v1.0","positive",770.1,688.018,601.75,580.983,NA,100,7350
"425","LilyLake.Cwynar.1990","lcRPCIzys1FJAv11nWi",-135.4,59.2,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,160,160,"Annual","P","Legacy Climate v1.0","positive",1865.65,1642.85,1696.85,1429.114,699.567,390,10090
"426","LilyLake.Flakne.2003","lcRjUN7lrKnYMS1DSr3",-89.0908,47.912,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",1020,10610,9590,140,140,"Annual","P","Legacy Climate v1.0","positive",NA,882.533,835.429,818.84,847.886,1170,7520
"427","LilyLake.Minckley.2007","lcROBIER3oUzr1eINaV",-120.21,41.9769,"WNA","Lake","pollen","Pollen","Pollen (calibrated)",0,11610,11650,110,110,"Annual","P","Legacy Climate v1.0","positive",558.033,561.727,537.171,551.15,523.22,11220,5950
"428","LimeLake.Steinman.2016","LPDd6c25776",-117.338,48.874,"WNA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,7765.2,7820,11.9,12.05,"Winter","P-E","Other","negative",-14.656,-15.1,-14.941,-15.449,NA,4200.4,735.5
"429","LimeLake.Steinman.2016","LPD17fc7c77",-117.338,48.874,"WNA","LakeSediment","d13C","Shoreline","Shoreline (Lake Level)",0,7765.2,7820,11.9,12.05,"Winter","P-E","Other","negative",-4.746,-5.49,-4.681,-3.984,NA,4200.4,1286.3
"430","Limnoncave.Peckover.2019","S2LR8AEiambOvz",22.1403,37.9605,"MED","Speleothem","d13C","Speleothem","Speleothem (δ13C)",6687.66251036,12000,5626.63288604,13.6982886699998,13.6796862599999,"Annual","P-E","SISALv2","negative",NA,NA,NA,-6.366,-6.925,10048.5209111,6687.66251036
"431","LisanDeadSea.Vogel.1972","OLS_Rz4NEhuh5D0",35.5,31.5,"MED","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,915,"Annual","P-E","Oxford Lake Level Database","negative",3,3,3,2,3,8303.5,5268.72222222222
"432","Litlvatnet.Bjune.2009","lcRukEb6BnbJCwvGQcS",14.9309,68.5269,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,210,210,"Annual","P","Legacy Climate v1.0","positive",699.467,712.92,707.08,661.025,698.35,11630,3220
"433","LittleCheyneCourtWallandmarsh.Waller.1999","lcRyc8tsEYpBLQv53H9",0.83,50.9628,"NEU","Peat","pollen","Pollen","Pollen (calibrated)",900,5510,4610,100,100,"Annual","P","Legacy Climate v1.0","positive",1083.633,946.85,917.4,NA,NA,3370,4800
"434","LittleSaltSpring.Clausen.1979","pdRePrUACmQFQiQeVdA",-82.17,27,"ENA","Shoreline","lakeLevel","Shoreline","Shoreline (Lake Level)",0,11764,11764,946,986.5,"Annual","P-E","Liefert and Shuman, 2020","positive",5,4.7,-5.25,-1.7,-1.775,0,10278
"435","LittleSwiftLake.Axford.2004","lcRUFhLpJJEIgFJy1fm",-159.7657,60.2165,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,350,355,"Annual","P","Legacy Climate v1.0","positive",200.1,197.233,196,190.15,186.85,2350,11890
"436","LittleWilleyPond.Oswald.2018","lcRMPkP0JPngepqKt5J",-71.1781,43.2917,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,145,140,"Annual","P","Legacy Climate v1.0","positive",1105.482,1079.75,1084.112,965.667,899.833,820,10410
"437","LittleWindyHillPond.Pribyl.2014","pdRkoO11xxFGVWJeL62",-106.34,41.43,"WNA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",50,12000,12000,50,50,"Annual","P-E","Liefert and Shuman, 2020","positive",-0.034,-0.521,-0.642,-0.406,-0.543,100,12000
"438","LochaChroisg.Pennington.1973","lcR1zcvlTpHe7Gu2Ozc",-5.1426,57.5749,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",1550,5860,4310,150,150,"Annual","P","Legacy Climate v1.0","positive",NA,1049.586,977.467,NA,NA,2940,5860
"439","LochCleat.Birks.1983","lcRJ5gQAZ1C6slQ2wzM",-6.2778,57.6225,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,175,170,"Annual","P","Legacy Climate v1.0","positive",1229.8,1154.475,1116.04,1065.325,1071.975,60,7760
"440","Logne.Barbier.1997","lcRsKj7HRaEa8Csoe9n",-1.5011,47.3283,"WCE","Peat","pollen","Pollen","Pollen (calibrated)",0,4780,4780,50,50,"Annual","P","Legacy Climate v1.0","positive",1064.705,704.033,NA,NA,NA,630,4620
"441","LoneFoxLake.MacDonald.1984","lcRGoh2qGUcOrSspCnQ",-119.7167,56.7167,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,345,340,"Annual","P","Legacy Climate v1.0","positive",454.95,466.6,475.467,465.875,388.025,5940,11830
"442","LongBreach.Fyfe.2003","lcR2gzCRtzbPXSErk7O",-3.6875,51.0658,"NEU","Peat","pollen","Pollen","Pollen (calibrated)",0,6570,6620,140,140,"Annual","P","Legacy Climate v1.0","positive",1151.875,1075.25,1039.786,NA,NA,240,6290
"443","LongLake.Carter.2017","lcRZkWC1fAUMWFcopmS",-106.3679,41.4998,"WNA","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,40,40,"Annual","P","Legacy Climate v1.0","positive",421.452,472.928,447.2,440.8,442.833,3700,1800
"444","LongquanLakeLC2.Liu.1991","lcRCI2bFYEi8iJDZ3pT",112.238,31.0814,"EAS","Lake","pollen","Pollen","Pollen (calibrated)",140,10630,10490,270,270,"Annual","P","Legacy Climate v1.0","positive",938.875,948.833,941,953.3,889.4,1140,10630
"445","LoonPond.author.1111","lcRtljGbgEMRcxcyRwF",-68.2,45.0333,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,250,250,"Annual","P","Legacy Climate v1.0","positive",1079.775,1069.5,1052.825,984.325,855.75,4960,10130
"446","LorraineLake.Calcote.2003","lcRi9DLyVIp1ptYxuLt",-86.483,46.1447,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",0,9780,9840,90,90,"Annual","P","Legacy Climate v1.0","positive",968.233,816.777,772.5,802.5,742.5,190,9210
"447","LoughMullaghlahan.Fossitt.1994","lcRShwFkjy6CGJ3eBei",-8.4682,54.7753,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,100,100,"Annual","P","Legacy Climate v1.0","positive",1097.236,1031.2,935.764,990.54,1112.867,11620,6470
"448","LowderCreekBog.Anderson.1999","WEB506ba549",-112.7749,37.6644,"WNA","Peat","pollen","Pollen","Pollen (not calibrated)",0,12000,12000,384,383.5,"Winter","P-E","Other","positive",4.295,3.917,4.201,4.523,1.839,2251,11763
"449","LowerBearLake.Kirby.2012","GH44c0a9bf",-116.9,34.2,"WNA","LakeSediment","TOC","Other","Other (not calibrated)",475.51,9355.9,8880.39,17.2599999999993,17.2599999999993,"Annual","P","Other","positive",56.103,25.561,21.184,28.87,NA,778.22,9350.85
"450","LS06MIBO","LS06MIBO10a",87.0755,42.0155,"ECA","LakeSediment","d18O","Shoreline","Shoreline (Lake Level)",103,8215,8112,60,60,"Annual","P-E","Iso2k","negative",0.976,-0.585,0.776,-2.091,NA,7973,2644
"451","LS07EAGO","LS07EAGO01",29.6,37.12,"MED","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",216,10614.3,10398.3,73.7000000000007,73.7999999999993,"Annual","P-E","Iso2k","negative",-3.513,-3.724,-6.762,-4.533,-6.855,3562,5089.1
"452","LS09MAAS","LS09MAAS",39.4833,12.5833,"NEAF","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,12000,12000,60,60,"Annual","P-E","Iso2k","negative",5.804,2.233,-6.379,-4.7,NA,5815,151
"453","LS09MIKU","LS09MIKU01a",99.17,35.3,"TIB","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",74,12000,11929,114.5,114,"Annual","P-E","Iso2k","negative",0.045,NA,-0.31,NA,NA,5496,1103
"454","LS10ANBL","LS10ANBL01a",14.65,62,"NEU","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,4385.50664,4445.50664,51.5917960000002,53.1822670000001,"Summer","P-E","Iso2k","negative",-11.42,-10.696,NA,NA,NA,58.725458,1923.544673
"455","LS10HESA","LS10HESA",27.67,62.25,"NEU","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",128,9880,9752,67.5,67,"Annual","P-E","Iso2k","negative",-17.772,-13.246,-12.869,-14.789,-14.074,260,7132
"456","LS12GOBA","LS12GOBA01a",115.51,-32.001,"SAU","LakeSediment","d18O","Shoreline","Shoreline (Lake Level)",134.4,7430.833333,7296.433333,85.8252499999999,78.6731454999999,"Annual","P-E","Iso2k","negative",2.388,2.69,2.155,NA,NA,6502.330064,2030.245301
"457","LS13LUBA","LS13LUBA01a",92.8142,43.6375,"ECA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",397,8694,8297,105,105,"Annual","P-E","Iso2k","negative",-0.997,-3.827,-2.115,-6.419,NA,2637,1497
"458","LS14YAHA","LS14YAHA02a",97.58,38.3,"ECA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",100.3,8780,8679.7,94.3999999999996,94.3999999999999,"Annual","P-E","Iso2k","negative",-1.357,-0.083,-0.758,2.611,NA,5955.2,7685.5
"459","LS15OEPO","LS15OEPO01a",-70.38,-51.95,"SSA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,9285,9306,18,18,"Annual","P-E","Iso2k","negative",-4.335,-3.979,-4.064,-2.697,NA,1716,7921
"460","LS99CUVA","LS99CUVAc",-67.75,10.1667,"NSA","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,9746.8,9789.8,40.6,40.6000000000001,"Annual","P-E","Iso2k","negative",0.904,1.107,1.062,1.432,1.551,2407.1,6912.7
"461","Lubbock.Green.1962","OLS_RF4kqHZt5Ej",-101.9,33.63,"CNA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,1605,"Annual","P-E","Oxford Lake Level Database","negative",2,2,2,3,3,9101,8903.5
"462","Luganskoe.Efremov.1995","lcRCHeP7xkq0keh2M2L",40.7008,43.7219,"WCA","Peat","pollen","Pollen","Pollen (calibrated)",0,6000,6030,190,190,"Annual","P","Legacy Climate v1.0","positive",650.05,664.043,628.433,NA,NA,3330,5290
"463","Lugu_ZS10.Zhao.2021","WEB-549aa-b641-401a-8b39-3c413",100.77,27.72,"EAS","LakeSediment","dDwax","Leaf Wax","Leaf Wax (δD)",15,12000,12000,83,84,"Summer","P","Other","negative",-223.615,-234.167,-237.429,-242.2,-241.833,6280,11822
"464","LukaschinYarPeatExposure.Anderson.2002","lcR6zfg40KfwrtKMP1E",78.5,61,"WSB","Peat","pollen","Pollen","Pollen (calibrated)",420,12000,11650,330,300,"Annual","P","Legacy Climate v1.0","positive",516.4,492.8,497.7,491.033,405.56,1050,10410
"465","LynchsCrater.Kershaw.1974","OLS_RFZ5ftnO2t2",145.7,-17.37,"NAU","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,2240,"Annual","P-E","Oxford Lake Level Database","negative",1,1,2,1,1,5255,6841
"466","M125-67-4.Bahr.2021","WEB4b390c30",-38.9133,-15.2828,"NES","MarineSediment","Element Ratio","Other","Other (not calibrated)",1.7,5061.5,5059.8,6.89999999999998,7,"Annual","P-E","Other","negative",0.935,0.622,NA,NA,NA,3890.2,9.5
"467","M77_2_059_1.N_rnberg.2015","WEB8c583cb8",-81.32,-3.9504,"NWS","MarineSediment","Ti/CA","Other","Other (not calibrated)",209.2307692,12000,12000,17.2950000000001,17.2950000000001,"Annual","P","Other","positive",-0.46,-0.7,-0.716,-0.801,-0.705,674.237037,8420.510936
"468","MacalChasm.Akers.2016","S2LR9DSUVgi2FG",-89.108,16.883,"SCA","Speleothem","d18O","Speleothem","Speleothem (δ18O)",0,5245,5287.6,3.59999999999991,3.80000000000018,"Annual","P","SISALv2","negative",-3.805,-4.031,NA,NA,NA,1487,39.5
"469","MacalChasm.Akers.2016","S2LRE5ZXEOA0gV",-89.108,16.883,"SCA","Speleothem","d13C","Speleothem","Speleothem (δ13C)",0,5245,5287.6,3.59999999999991,3.70000000000005,"Annual","P-E","SISALv2","negative",-9.981,-11.151,NA,NA,NA,360,885.9
"470","MagadiNatron.Butzer.1972","OLS_Rl1U1UXxAIf",36.04,-2.12,"SEAF","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,1200,"Annual","P-E","Oxford Lake Level Database","negative",3,3,3,3,2,10813.5,4425.625
"471","MakepeaceCedarSwamp.Newby.2000PaleoDIVER","pdRXoXk6qKsU102x2C4",-70.77,41.93,"ENA","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,11480,11480,890,1080,"Annual","P-E","Liefert and Shuman, 2020","positive",0,NA,-2.115,-3.03,-3.51,0,11480
"472","MallardPond.Teed.2009","lcRtxJO058HFi2LTtPf",-101.3247,51.2878,"NEN","Lake","pollen","Pollen","Pollen (calibrated)",0,8520,8570,100,95,"Annual","P","Legacy Climate v1.0","positive",503.186,460.762,425.933,471.55,NA,520,6360
"473","MansellPond.AlmquistJacobson.1995","lcRsGKE1HtShd5fiLfc",-68.7333,45.0417,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",0,9990,10040,80,80,"Annual","P","Legacy Climate v1.0","positive",1058.267,1076.559,1044.17,954.414,886.32,1360,9990
"474","Manyara.Holdship.1976","OLS_Rrt4iAcWTIK",35.82,-3.62,"SEAF","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,2010,"Annual","P-E","Oxford Lake Level Database","negative",3,3,3,2,1,10158.5,3285.5
"475","MaraisdeKeswick.Dinel.1986","lcR05uuYvKoZnUNKOyb",-79.5128,44.1958,"ENA","Lake","pollen","Pollen","Pollen (calibrated)",0,4380,4380,80,85,"Annual","P","Legacy Climate v1.0","positive",853.533,845.742,NA,NA,NA,2170,90
"476","MaraisdeLisle.Ouguerram.2002","lcRws8UtuiI7583vk4v",-1.4944,47.4297,"WCE","Peat","pollen","Pollen","Pollen (calibrated)",170,6420,6250,40,40,"Annual","P","Legacy Climate v1.0","positive",830.905,783.65,703.343,NA,NA,170,6220
"477","Marcella.Anderson.2007","LPD43c710a2",-133.8055,60.0733,"NWN","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",0,4732,4782,29,29,"Summer","P-E","Other","negative",-9.947,-11.315,NA,NA,NA,4496,0
"478","MarcellaLake.Anderson.2005","pdRo4qVPibvVmQpFyRt",-133.81,60.07,"NWN","LakeSediment","lakeLevel","Shoreline","Shoreline (Lake Level)",0,10220,10270,815,950,"Annual","P-E","Liefert and Shuman, 2020","positive",NA,-3.73,NA,-11.28,-6.77,4200,10220
"479","MarcellaLake.Edwards.2015","lcRTMSt7gELRNTyCnb3",-133.806,60.0735,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,9030,9080,275,280,"Annual","P","Legacy Climate v1.0","positive",407.64,384.65,350.35,315.1,NA,1840,9030
"480","Masatjornet.Birks.2012","lcR8fc8B2pDMdMUjVUf",10.2678,61.5625,"NEU","Lake","pollen","Pollen","Pollen (calibrated)",0,12000,12000,255,260,"Annual","P","Legacy Climate v1.0","positive",677.4,560.575,558.186,545.3,546.1,480,6880
"481","Mawmluhcave.Berkelhammer.2013","S2LRjdxDZIRfvJ",91.8817,25.2622,"SAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",3653,12000,8742,6,6,"Summer","P","SISALv2","negative",NA,-5.89,-6.521,-7.064,-6.185,8357,4037
"482","Mawmluhcave.Berkelhammer.2013","S2LR7XglDiUCAP",91.8817,25.2622,"SAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",5532.59,12000,6815.7,58.79,58.79,"Summer","P","SISALv2","negative",NA,NA,-5.506,-6.929,-6.394,7590.29,11772.68
"483","Mawmluhcave.Berkelhammer.2013","S2LR8MbMTROPjI",91.8817,25.2622,"SAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",6510.08494341,12000,5889.58515499,6.04357922999952,6.05399421000038,"Summer","P","SISALv2","negative",NA,NA,NA,-7.676,-7.318,9605.12590827,11916.4783973
"484","Mawmluhcave.Berkelhammer.2013","S2LRE4ZUFzdUQT",91.8817,25.2622,"SAS","Speleothem","d18O","Speleothem","Speleothem (δ18O)",6604.41105491,12000,5702.40637059,27.135083955,27.1868912899999,"Summer","P","SISALv2","negative",NA,NA,NA,-6.308,-6.932,9013.10081123,11940.878608
"485","MD02-2553.Poore.2009","WEBd4917199",-91.4167,27.1835,"CNA","MarineSediment","foraminifera","Other","Other (not calibrated)",220.117,9262.61,9042.493,31.2299999999996,29.2849999999994,"Summer","P","Other","positive",5.787,12.262,21.479,9.107,NA,5886.72,399.944
"486","MD99-2266.Moossen.2015","WEBbe8b843b",-23.2655,66.2295,"GIC","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",321,10351,10030,31,31,"Summer","P","Other","negative",-200.255,-196.148,-195.675,-195.486,-194.352,2120,2714
"487","MD99-2266.Moossen.2015","WEB11e36a24",-23.2655,66.2295,"GIC","MarineSediment","dDwax","Leaf Wax","Leaf Wax (δD)",321,10744,10423,25,26,"Summer","P","Other","negative",29.228,28.896,28.89,29.217,29.382,3991,1074
"488","MD99-2266.Moossen.2015","WEBeac28b13",-23.2655,66.2295,"GIC","MarineSediment","pH","Other","Other (not calibrated)",310,10744,10434,26,26,"Summer","P","Other","negative",7.906,7.757,7.87,7.946,8.068,3922,8629
"489","MeliLake.Anderson.2001","WEBe0e75109",-149.075,68.6836,"NWN","LakeSediment","d18O","Lake Sediment (δ18O)","Lake Sediment (δ18O)",27.8,8682.4,8654.6,366.6,370.1,"Annual","P-E","Other","negative",19.07,18.305,18.634,19.535,NA,1542.2,562.5
"490","Mendota.Winkler.1983","OLS_Rxv9LmnnQsQ",-89.42,43.1,"ENA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,2252.5,"Annual","P-E","Oxford Lake Level Database","negative",2,2,3,2,1,10158.5,6276.83333333333
"491","Mexico.Limbrey.1976","OLS_RTsihKwmPMu",-99,19.5,"NCA","LakeDeposits","lakeLevel","Shoreline","Shoreline (Lake Level)",494.5,12000,11839,1174.5,1147,"Annual","P-E","Oxford Lake Level Database","negative",2,2,3,2,2,7388.5,4428.5
"492","MianchengM1.Yang.1998","lcRXvbC4hazRnHK1FGt",113.2167,30.1833,"EAS","Lake","pollen","Pollen","Pollen (calibrated)",680,12000,11440,50,50,"Annual","P","Legacy Climate v1.0","positive",599.767,867.966,937.86,853.925,863.12,6310,1630
"493","MicaLake.Anderson.2017","lcR51PFKlQqno4VsZWI",-148.1434,60.6869,"NWN","Lake","pollen","Pollen","Pollen (calibrated)",0,10220,10230,150,155,"Annual","P","Legacy Climate v1.0","positive",1700.654,1434.983,1161.46,710.76,377.82,2260,10220
"494","MiddenCluster1.Harbert.2018","WEB613ee041",-110.1304,37.9049,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,11174,11174,27,27,"Annual","P","wNA","positive",255.358,301.538,266.3,609.637,NA,8007,203.75
"495","MiddenCluster1.Harbert.2018","WEB25ae3120",-110.1304,37.9049,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,11174,11174,27,27,"Annual","P-E","wNA","positive",-438.088,-354.127,-368.524,-96.55,NA,8007,1819
"496","MiddenCluster2.Harbert.2018","WEB85c563b9",-115.1879,36.3806,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,12000,12000,97,94.5,"Annual","P","wNA","positive",177.88,222.129,173.138,134.989,165.508,11617,2120
"497","MiddenCluster2.Harbert.2018","WEBc9823492",-115.1879,36.3806,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,12000,12000,97,97,"Annual","P-E","wNA","positive",-676.981,-511.667,-907.445,-1097.8,-736.929,11617,1224
"498","MiddenCluster3.Harbert.2018","WEBb09859f3",-108.0819,36.0589,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,7568,7568,325,308,"Annual","P","wNA","positive",253.449,268.779,298.8,296.883,NA,6311,510
"499","MiddenCluster3.Harbert.2018","WEB7f9af5c1",-108.0819,36.0589,"WNA","Midden","macrofossils","Other","Other (calibrated)",0,7568,7568,325,308,"Annual","P-E","wNA","positive",-424.779,-420.363,-417.418,-345.297,NA,6311,1528
